musteri_id,yas,aylik_gelir_TL,calisma_suresi_yil,kredi_tutari_TL,kredi_vadesi_ay,kredi_gecmisi_ay,mevcut_borc_TL,aylik_gider_TL,ev_sahipligi,calisma_durumu,kredi_amaci,odeme_gecmisi,onceki_takip_sayisi,kredi_riski
M00224,42,55991.0,7.2,122759,36,223,20474.0,11034,Kira,Tam Zamanli,Egitim,Kotu,0,Riskli
M00225,31,55076.0,,81163,36,112,14353.0,23797,Ev Sahibi,Yari Zamanli,Egitim,Iyi,0,Riskli
M00226,36,64454.0,13.0,81675,36,208,29804.0,21588,Kira,Tam Zamanli,Tatil,Iyi,0,Riskli
M00227,53,60011.0,23.1,68406,48,425,32472.0,16732,Ev Sahibi,Serbest,Ev,Orta,0,Risksiz
M00228,29,53265.0,5.9,106707,48,93,82527.0,10656,Kira,Serbest,Egitim,Iyi,2,Riskli
M00229,26,43737.0,5.0,102894,24,100,26685.0,18739,Aile Yaninda,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00230,36,15103.0,6.6,51230,36,150,9657.0,5483,Kira,Yari Zamanli,Ev,Iyi,0,Riskli
M00231,49,52733.0,10.1,30423,36,297,34914.0,19147,Kira,Tam Zamanli,Arac,Iyi,0,Riskli
M00232,23,48738.0,1.3,63911,48,59,0.0,24972,Ev Sahibi,Issiz,Ev,Iyi,0,Risksiz
M00233,40,49888.0,15.5,45999,24,254,28345.0,7990,Kira,Serbest,Arac,Orta,0,Risksiz
M00234,56,22019.0,11.5,68094,48,528,30288.0,5740,Ev Sahibi,Serbest,Tuketici,Iyi,0,Riskli
M00235,39,25541.0,12.3,107123,12,164,44303.0,30636,Kira,Yari Zamanli,Tuketici,Kotu,0,Riskli
M00236,46,63957.0,23.3,56281,36,316,47525.0,13106,Ev Sahibi,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00237,23,44288.0,2.4,68715,60,54,20936.0,27088,Kira,Serbest,Tatil,Iyi,0,Risksiz
M00238,39,57267.0,11.6,71741,48,280,27289.0,16768,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00239,40,45510.0,6.8,95453,36,160,16210.0,16704,Ev Sahibi,Tam Zamanli,Isletme,,2,Riskli
M00240,52,45536.0,25.6,5000,48,408,9695.0,21507,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00241,27,61889.0,4.6,51799,48,95,35578.0,10928,Kira,Issiz,Tatil,Orta,0,Riskli
M00242,61,35711.0,15.1,76339,60,352,7075.0,19060,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00243,53,46730.0,11.8,106002,48,343,22537.0,14948,Aile Yaninda,Tam Zamanli,Isletme,Orta,0,Riskli
M00244,60,36679.0,33.8,55243,48,364,12087.0,7436,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00245,59,37179.0,27.4,13703,36,436,39894.0,20700,Kira,Serbest,Arac,Orta,0,Riskli
M00246,38,39435.0,14.4,88591,24,262,62426.0,15894,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00247,60,48998.0,33.1,50939,36,443,6571.0,16744,Kira,Tam Zamanli,Ev,Iyi,0,Risksiz
M00248,21,36383.0,0.6,34310,36,33,0.0,8319,Ev Sahibi,Tam Zamanli,Arac,Kotu,1,Riskli
M00249,31,67604.0,6.7,51270,48,132,27752.0,30731,Aile Yaninda,Serbest,Arac,Orta,0,Risksiz
M00250,48,28897.0,15.6,64464,36,192,30283.0,25014,Ev Sahibi,Issiz,Ev,Iyi,0,Riskli
M00251,45,41636.0,12.3,51858,36,212,33936.0,25713,Ev Sahibi,Serbest,Ev,Iyi,0,Riskli
M00252,43,37085.0,12.9,5000,12,248,21966.0,15556,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Risksiz
M00253,51,71046.0,23.7,96912,36,280,26388.0,5000,Kira,Serbest,Tuketici,Orta,0,Risksiz
M00254,50,48538.0,19.8,108246,36,239,36615.0,33623,Kira,Tam Zamanli,Tuketici,Orta,0,Risksiz
M00255,62,63573.0,35.1,89546,48,441,48728.0,17511,Ev Sahibi,Tam Zamanli,Isletme,Orta,0,Riskli
M00256,55,18260.0,19.8,35869,12,318,0.0,12010,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Riskli
M00257,27,49807.0,4.6,63955,48,73,23359.0,21334,Ev Sahibi,Tam Zamanli,Tatil,Orta,0,Riskli
M00258,36,61013.0,10.9,69804,72,175,33849.0,27337,Kira,Serbest,Isletme,Iyi,0,Risksiz
M00259,46,46481.0,17.0,87964,24,198,13476.0,17816,Kira,Tam Zamanli,Ev,Iyi,0,Riskli
M00260,22,64179.0,1.4,90050,36,54,61161.0,28229,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00261,21,35689.0,0.4,47975,24,39,18563.0,26664,Aile Yaninda,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00262,32,70368.0,7.3,72460,48,163,29257.0,9389,Ev Sahibi,Tam Zamanli,Ev,Orta,0,Risksiz
M00263,25,86380.0,1.8,83718,36,48,40008.0,12610,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00264,57,38469.0,19.6,113675,36,476,19357.0,25660,Kira,Tam Zamanli,Tuketici,Orta,2,Riskli
M00265,52,36981.0,19.0,91135,36,424,0.0,5000,Ev Sahibi,Tam Zamanli,Ev,Kotu,1,Riskli
M00266,29,71161.0,6.2,93672,60,134,22284.0,16804,Kira,Yari Zamanli,Ev,Iyi,1,Riskli
M00267,61,73432.0,35.7,72515,24,297,48530.0,6553,Kira,Yari Zamanli,Ev,Iyi,0,Risksiz
M00268,55,35589.0,23.1,112314,12,413,23936.0,14188,Ev Sahibi,Serbest,Arac,Kotu,0,Riskli
M00269,39,37437.0,14.2,82293,60,266,14764.0,15609,Kira,Tam Zamanli,Egitim,Kotu,0,Riskli
M00270,36,39928.0,9.7,44167,48,191,46662.0,15134,Kira,Serbest,Egitim,Iyi,0,Riskli
M00271,23,20800.0,2.0,112101,60,56,24046.0,13582,Aile Yaninda,Issiz,Arac,Iyi,1,Riskli
M00272,40,28464.0,6.9,90937,48,213,20817.0,9223,Ev Sahibi,Serbest,Isletme,Iyi,0,Risksiz
M00273,44,26925.0,10.9,56709,60,266,32690.0,36335,Kira,Yari Zamanli,Arac,Iyi,0,Riskli
M00274,53,31180.0,17.1,55615,36,220,43874.0,32940,Ev Sahibi,Tam Zamanli,Ev,Kotu,0,Riskli
M00275,44,44376.0,14.0,78897,48,289,72871.0,8703,Kira,Issiz,Arac,Iyi,0,Riskli
M00276,31,49216.0,,83896,60,86,44890.0,30657,Ev Sahibi,Tam Zamanli,Egitim,Kotu,0,Riskli
M00277,28,72909.0,3.1,75919,48,95,50877.0,14804,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Riskli
M00278,56,27030.0,16.8,79339,24,317,20893.0,19033,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Risksiz
M00279,58,62718.0,33.6,120999,36,415,11534.0,17494,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00280,60,41148.0,20.0,102146,24,297,31122.0,12722,Kira,Issiz,Tuketici,Orta,0,Riskli
M00281,40,44110.0,11.8,75719,24,254,31929.0,25871,Kira,Tam Zamanli,Isletme,Orta,0,Riskli
M00282,55,57147.0,14.6,98239,36,457,10587.0,19007,Kira,Tam Zamanli,Arac,Orta,1,Riskli
M00283,45,24791.0,16.7,39024,36,197,26845.0,14188,Kira,Yari Zamanli,Arac,Iyi,0,Risksiz
M00284,55,51883.0,16.4,81938,48,253,37188.0,7563,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Riskli
M00285,45,47996.0,10.6,124279,36,193,36487.0,10851,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00286,49,53864.0,17.7,63459,48,404,39077.0,5000,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00287,38,50205.0,5.5,44571,24,205,35237.0,18098,Kira,Yari Zamanli,Isletme,,0,Riskli
M00288,38,89195.0,5.5,50437,24,195,20874.0,8427,Aile Yaninda,Tam Zamanli,Tatil,Iyi,0,Risksiz
M00289,22,33521.0,0.9,37311,24,27,20750.0,15876,Kira,Serbest,Egitim,Orta,0,Riskli
M00290,55,35442.0,11.3,46457,36,414,8419.0,28961,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00291,36,33783.0,5.8,58885,24,233,62126.0,27594,Kira,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00292,61,35001.0,20.6,27833,36,543,30242.0,17742,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00293,56,33527.0,28.1,70469,36,418,25953.0,17303,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00294,53,66402.0,21.2,97068,60,231,13282.0,33039,Ev Sahibi,Serbest,Arac,Orta,0,Riskli
M00295,24,70569.0,2.4,42767,12,41,82842.0,22166,Ev Sahibi,Serbest,Egitim,Orta,0,Riskli
M00296,53,34727.0,15.7,115579,48,224,10680.0,15378,Aile Yaninda,Tam Zamanli,Arac,Iyi,1,Riskli
M00297,34,30018.0,12.0,85324,48,129,22281.0,6592,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00298,41,53485.0,11.3,100917,60,163,37485.0,21151,Kira,Yari Zamanli,Tuketici,Kotu,0,Riskli
M00299,40,35060.0,7.0,50265,60,178,40804.0,24635,Aile Yaninda,Tam Zamanli,Tuketici,Orta,0,Risksiz
M00300,28,56393.0,5.4,95636,12,91,47243.0,12947,Kira,Tam Zamanli,Isletme,Orta,0,Risksiz
M00301,27,48653.0,2.6,37242,24,122,62537.0,20330,Ev Sahibi,Issiz,Arac,Iyi,0,Risksiz
M00302,23,17717.0,1.5,96707,60,54,39111.0,15091,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00303,37,72855.0,10.3,75155,36,241,10991.0,16528,Kira,Issiz,Tuketici,Kotu,0,Riskli
M00304,53,77326.0,27.2,86598,48,409,25375.0,5000,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Risksiz
M00305,32,33970.0,7.2,34732,48,97,35541.0,16226,Kira,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00306,42,38021.0,15.9,43148,48,285,67228.0,25755,Kira,Tam Zamanli,Ev,Orta,0,Risksiz
M00307,42,50146.0,19.7,87917,60,197,4840.0,12949,Kira,Tam Zamanli,Tuketici,Orta,1,Riskli
M00308,50,51020.0,11.4,41550,72,356,51646.0,18420,Ev Sahibi,Tam Zamanli,Egitim,,3,Riskli
M00309,58,56854.0,17.7,83896,48,349,33238.0,11952,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00310,58,81184.0,20.4,28986,36,559,45081.0,20884,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00311,65,41815.0,24.9,95445,60,381,28164.0,16268,Aile Yaninda,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00312,28,30631.0,4.4,33024,12,82,14836.0,10486,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Risksiz
M00313,47,20172.0,22.8,86569,24,390,43516.0,28660,Ev Sahibi,Yari Zamanli,Ev,Iyi,2,Riskli
M00314,47,31843.0,19.7,88769,60,180,41780.0,25431,Kira,Tam Zamanli,Egitim,Orta,0,Riskli
M00315,54,44404.0,22.6,49097,24,417,47497.0,13161,Kira,Tam Zamanli,Tatil,Kotu,0,Risksiz
M00316,41,77302.0,10.2,87461,24,271,29761.0,21982,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00317,50,35683.0,23.8,77813,24,406,19203.0,22299,Ev Sahibi,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00318,53,49028.0,28.8,53835,60,483,1942.0,23138,Aile Yaninda,Tam Zamanli,Egitim,Orta,0,Riskli
M00319,48,44704.0,22.2,39743,36,414,44749.0,5000,Aile Yaninda,Tam Zamanli,Tuketici,Orta,1,Riskli
M00320,53,66391.0,9.9,11121,48,228,37630.0,26053,Aile Yaninda,Serbest,Egitim,Orta,1,Riskli
M00321,25,90485.0,3.4,80490,24,88,12616.0,13442,Aile Yaninda,Tam Zamanli,Tuketici,Iyi,1,Risksiz
M00322,39,35444.0,6.3,23056,48,235,20306.0,15137,Kira,Tam Zamanli,Arac,Iyi,1,Risksiz
M00323,24,36190.0,1.8,72860,60,67,21598.0,39103,Ev Sahibi,Serbest,Arac,Orta,0,Riskli
M00324,55,63795.0,11.8,62097,36,260,,20415,Aile Yaninda,Yari Zamanli,Tuketici,Kotu,0,Riskli
M00325,37,57274.0,11.3,90374,36,213,15282.0,14909,Kira,Tam Zamanli,Ev,Iyi,1,Riskli
M00326,64,78241.0,31.3,60939,24,638,9591.0,5000,Aile Yaninda,Serbest,Tuketici,Kotu,0,Risksiz
M00327,48,55511.0,10.3,60117,72,399,22575.0,29118,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00328,50,38533.0,15.9,91956,48,304,16703.0,7238,Ev Sahibi,Serbest,Arac,Kotu,0,Riskli
M00329,49,55632.0,16.6,80052,60,196,714.0,9972,Ev Sahibi,Tam Zamanli,Egitim,Orta,1,Riskli
M00330,26,64957.0,3.1,79485,36,71,66407.0,15349,Aile Yaninda,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00331,55,59769.0,13.0,84078,60,467,52546.0,29331,Kira,Issiz,Tuketici,Orta,1,Riskli
M00332,61,54131.0,22.6,23933,60,499,15978.0,24186,Ev Sahibi,Tam Zamanli,Arac,Iyi,1,Riskli
M00333,57,64200.0,27.8,92704,48,377,34904.0,16737,Ev Sahibi,Yari Zamanli,Arac,Iyi,0,Riskli
M00334,44,66047.0,8.2,88374,72,167,37514.0,20466,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00335,49,69879.0,10.1,39500,36,292,51440.0,13197,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Risksiz
M00336,51,56677.0,15.9,62678,24,322,15265.0,19117,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00337,55,41992.0,30.3,68821,48,497,49658.0,18587,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Risksiz
M00338,53,47641.0,23.1,65965,48,390,20138.0,25750,Kira,Yari Zamanli,Tuketici,Orta,0,Riskli
M00339,41,66717.0,14.9,80016,48,195,5954.0,25737,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00340,52,30295.0,16.5,112941,24,347,43034.0,21952,Ev Sahibi,Tam Zamanli,Isletme,Orta,1,Riskli
M00341,43,51636.0,15.1,102453,36,163,53234.0,15101,Kira,Tam Zamanli,Tuketici,Orta,0,Riskli
M00342,53,37920.0,10.1,30633,36,482,76582.0,23935,Kira,Tam Zamanli,Isletme,Kotu,1,Riskli
M00343,23,45517.0,2.0,88662,36,44,8405.0,17264,Aile Yaninda,Issiz,Arac,Orta,0,Riskli
M00344,38,68012.0,15.3,109868,48,196,42581.0,9345,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,2,Riskli
M00345,45,48440.0,16.7,81604,48,239,22624.0,14774,Ev Sahibi,Yari Zamanli,Ev,Iyi,0,Risksiz
M00346,62,45836.0,34.6,102729,24,504,44100.0,18676,Kira,Serbest,Tuketici,Orta,0,Riskli
M00347,51,20523.0,22.8,130368,36,373,3531.0,25282,Kira,Serbest,Egitim,Iyi,0,Riskli
M00348,23,58433.0,1.1,100711,36,59,7270.0,16532,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00349,60,56619.0,33.7,77479,24,342,16034.0,8326,Kira,Serbest,Tuketici,Iyi,0,Riskli
M00350,44,83939.0,8.2,101353,60,222,31421.0,18454,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00351,52,39460.0,19.9,74347,60,238,18461.0,18908,Ev Sahibi,Serbest,Ev,Iyi,0,Riskli
M00352,42,48945.0,8.5,70717,36,270,41863.0,19487,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Riskli
M00353,43,49489.0,7.1,59458,48,158,48484.0,25359,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00354,22,73394.0,1.1,116902,60,43,40792.0,26151,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00355,47,43285.0,,45447,60,376,59138.0,13246,Kira,Serbest,Tuketici,Orta,0,Riskli
M00356,62,50022.0,24.8,115971,24,578,37485.0,13071,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00357,22,55942.0,1.3,84996,72,38,8096.0,9678,Aile Yaninda,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00358,46,48359.0,8.5,28021,36,271,54541.0,23591,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Risksiz
M00359,37,36964.0,6.4,81029,36,126,19107.0,29591,Ev Sahibi,Serbest,Tuketici,Iyi,0,Riskli
M00360,60,48494.0,25.4,6999,12,477,46388.0,15479,Kira,Serbest,Tuketici,Iyi,0,Risksiz
M00361,53,64325.0,16.7,88765,36,440,58327.0,16069,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Riskli
M00362,29,26523.0,6.6,96557,24,88,38220.0,29734,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00363,63,47393.0,29.7,52229,24,422,,22044,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00364,59,32398.0,31.5,73706,36,521,13472.0,21490,Kira,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00365,49,66511.0,20.7,128625,60,404,53809.0,8473,Aile Yaninda,Serbest,Arac,Iyi,0,Riskli
M00366,62,17583.0,23.4,54828,60,350,26956.0,23430,Ev Sahibi,Tam Zamanli,Egitim,Orta,0,Riskli
M00367,46,34939.0,18.3,38233,36,291,31432.0,10567,Ev Sahibi,Tam Zamanli,Ev,Kotu,0,Risksiz
M00368,55,51790.0,16.3,114450,60,279,43659.0,8928,Kira,Tam Zamanli,Arac,Orta,0,Risksiz
M00369,45,73179.0,12.1,128878,60,184,,15226,Kira,Tam Zamanli,Egitim,Iyi,1,Riskli
M00370,44,43816.0,18.6,70111,60,346,35018.0,13314,Kira,Tam Zamanli,Ev,Iyi,0,Riskli
M00371,33,35006.0,7.4,100344,24,188,26244.0,16227,Kira,Tam Zamanli,Tuketici,Iyi,2,Riskli
M00372,27,78861.0,5.5,110244,48,109,24372.0,6472,Ev Sahibi,Tam Zamanli,Tuketici,Kotu,0,Risksiz
M00373,56,18936.0,28.6,47725,72,243,45442.0,25671,Kira,Tam Zamanli,Isletme,Iyi,0,Riskli
M00374,65,15000.0,36.7,55441,48,599,39964.0,27021,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00375,40,52920.0,17.0,106926,36,209,25369.0,5000,Kira,Tam Zamanli,Isletme,Orta,0,Riskli
M00376,21,35963.0,0.6,120550,36,26,49478.0,25828,Kira,Tam Zamanli,Tatil,Orta,0,Riskli
M00377,28,26618.0,3.9,86886,48,104,27677.0,11516,Kira,Serbest,Tatil,Iyi,0,Riskli
M00378,36,57750.0,10.4,43606,36,121,14670.0,24856,Ev Sahibi,Tam Zamanli,Isletme,Orta,0,Riskli
M00379,34,49388.0,7.3,129612,24,193,16339.0,17452,Ev Sahibi,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00380,32,34847.0,7.9,54071,36,149,12383.0,18230,Kira,Yari Zamanli,Ev,Iyi,1,Risksiz
M00381,43,21955.0,16.6,59946,60,187,25097.0,16519,Kira,Yari Zamanli,Tuketici,Iyi,0,Riskli
M00382,35,60704.0,10.7,80270,60,128,52207.0,27697,Kira,Tam Zamanli,Isletme,Kotu,0,Riskli
M00383,48,56704.0,14.7,116625,24,224,15508.0,8083,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00384,54,43215.0,13.6,95619,72,232,33393.0,22863,Ev Sahibi,Tam Zamanli,Tatil,Iyi,0,Riskli
M00385,22,78239.0,1.1,82446,36,43,18180.0,26811,Ev Sahibi,Yari Zamanli,Tuketici,,2,Riskli
M00386,52,25738.0,12.3,83899,48,433,25314.0,23731,Ev Sahibi,Tam Zamanli,Isletme,Orta,0,Riskli
M00387,43,17541.0,19.2,71305,48,153,2819.0,36598,Ev Sahibi,Serbest,Ev,Orta,0,Riskli
M00388,42,32546.0,11.2,86744,60,153,26030.0,13768,Kira,Serbest,Tuketici,Orta,0,Riskli
M00389,45,44179.0,9.8,5000,72,286,26513.0,25658,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Riskli
M00390,42,49380.0,6.9,61102,36,301,39725.0,17151,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00391,42,40658.0,15.1,77240,60,207,34019.0,27867,Aile Yaninda,Yari Zamanli,Tatil,Orta,0,Riskli
M00392,62,51337.0,28.6,35470,24,387,8429.0,17938,Kira,Tam Zamanli,Ev,Iyi,0,Risksiz
M00393,26,22472.0,3.0,81590,48,86,49516.0,14897,Aile Yaninda,Tam Zamanli,Arac,Kotu,0,Riskli
M00394,35,70988.0,5.1,63866,48,139,33785.0,28449,Ev Sahibi,Serbest,Tuketici,Orta,1,Riskli
M00395,63,43521.0,23.5,122664,48,280,33571.0,14068,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00396,57,65111.0,18.0,117191,24,463,29835.0,6698,Kira,Issiz,Arac,Iyi,0,Risksiz
M00397,53,51169.0,23.3,56026,60,385,20680.0,13865,Ev Sahibi,Yari Zamanli,Tuketici,Orta,0,Riskli
M00398,28,53222.0,5.3,65475,24,106,33920.0,22952,Aile Yaninda,Serbest,Arac,Iyi,0,Riskli
M00399,64,55256.0,22.8,67782,12,549,38561.0,29136,Ev Sahibi,Tam Zamanli,Egitim,Iyi,0,Risksiz
M00400,64,53059.0,19.0,56450,48,524,0.0,18889,Ev Sahibi,Tam Zamanli,Isletme,Orta,1,Risksiz
M00401,25,56569.0,4.5,75851,36,54,20302.0,28546,Aile Yaninda,Tam Zamanli,Arac,Iyi,0,Risksiz
M00402,59,68925.0,22.3,47252,60,362,25411.0,7135,Kira,Tam Zamanli,Arac,Orta,0,Risksiz
M00403,24,48537.0,2.9,36082,36,42,34611.0,14454,Ev Sahibi,Tam Zamanli,Tatil,Iyi,2,Riskli
M00404,26,57762.0,2.3,88681,24,56,51480.0,15691,Kira,Tam Zamanli,Tuketici,Orta,0,Riskli
M00405,65,43385.0,26.6,88886,60,536,16109.0,17084,Aile Yaninda,Tam Zamanli,Isletme,Iyi,0,Risksiz
M00406,52,70922.0,10.1,45871,36,438,21037.0,18673,Kira,Tam Zamanli,Isletme,Iyi,0,Riskli
M00407,50,32825.0,18.1,96861,24,438,20774.0,23527,Ev Sahibi,Serbest,Tuketici,Kotu,0,Riskli
M00408,55,77417.0,30.7,51053,48,408,,14442,Ev Sahibi,Tam Zamanli,Arac,Orta,0,Riskli
M00409,60,44277.0,21.2,77595,36,314,23751.0,19112,Ev Sahibi,Tam Zamanli,Ev,Iyi,0,Riskli
M00410,36,19246.0,5.2,94610,48,123,43874.0,17639,Ev Sahibi,Yari Zamanli,Arac,Iyi,0,Riskli
M00411,33,47306.0,4.1,68992,36,188,11031.0,10593,Aile Yaninda,Issiz,Ev,Orta,0,Riskli
M00412,62,32741.0,22.4,83642,60,468,37701.0,17091,Aile Yaninda,Tam Zamanli,Tuketici,Iyi,1,Riskli
M00413,50,60132.0,11.9,54507,60,350,0.0,16851,Kira,Tam Zamanli,Tuketici,Kotu,0,Riskli
M00414,39,33253.0,6.0,64106,48,257,19896.0,16679,Kira,Tam Zamanli,Ev,Kotu,0,Riskli
M00415,37,36969.0,12.8,63824,24,221,24069.0,18254,Kira,Serbest,Tuketici,Orta,0,Risksiz
M00416,39,15000.0,10.9,47603,60,266,60147.0,18605,Kira,Serbest,Arac,Iyi,0,Riskli
M00417,48,36858.0,13.3,64697,48,193,25054.0,14542,Ev Sahibi,Yari Zamanli,Egitim,Iyi,0,Riskli
M00418,46,15000.0,21.8,23541,48,335,0.0,28182,Aile Yaninda,Tam Zamanli,Tuketici,Orta,0,Riskli
M00419,57,16490.0,13.7,55265,36,499,0.0,8644,Ev Sahibi,Tam Zamanli,Egitim,Iyi,0,Riskli
M00420,46,58687.0,22.7,61454,60,232,30613.0,12232,Kira,Tam Zamanli,Egitim,Iyi,0,Riskli
M00421,43,59144.0,11.2,62315,48,278,41048.0,40240,Kira,Yari Zamanli,Ev,Iyi,0,Riskli
M00422,29,52658.0,7.5,62755,24,94,36758.0,9696,Ev Sahibi,Yari Zamanli,Arac,Iyi,1,Riskli
M00423,32,27594.0,7.9,68147,36,191,33016.0,7170,Ev Sahibi,Issiz,Tuketici,Iyi,0,Risksiz
M00424,21,44141.0,0.8,84383,60,19,50921.0,23876,Kira,Tam Zamanli,Isletme,Iyi,0,Riskli
M00425,21,44935.0,0.9,96236,12,32,20287.0,5000,Aile Yaninda,Tam Zamanli,Arac,Orta,1,Riskli
M00426,54,24149.0,16.1,50507,72,264,46108.0,16118,Aile Yaninda,Tam Zamanli,Egitim,Iyi,0,Riskli
M00427,52,72061.0,28.1,33904,48,398,624.0,35167,Kira,Yari Zamanli,Tuketici,Iyi,1,Risksiz
M00428,45,60793.0,13.3,38739,48,200,13711.0,5641,Aile Yaninda,Serbest,Isletme,Iyi,0,Risksiz
M00429,60,,21.3,55384,36,331,0.0,5000,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00430,65,45484.0,22.7,59442,24,468,25053.0,6007,Ev Sahibi,Tam Zamanli,Egitim,Iyi,1,Risksiz
M00431,21,48751.0,0.6,46900,72,40,29167.0,25187,Kira,Tam Zamanli,Tuketici,,0,Riskli
M00432,36,15000.0,6.3,31117,36,138,32054.0,26998,Kira,Tam Zamanli,Tatil,Kotu,0,Riskli
M00433,59,40551.0,24.7,56316,60,293,31114.0,13899,Aile Yaninda,Serbest,Ev,Iyi,0,Risksiz
M00434,25,32724.0,3.1,75443,36,85,13304.0,23466,Kira,Tam Zamanli,Tuketici,Iyi,0,Riskli
M00435,42,,16.7,87851,24,240,26576.0,29122,Ev Sahibi,Serbest,Arac,Iyi,0,Riskli
M00436,49,39940.0,23.2,53277,12,412,3046.0,32299,Kira,Tam Zamanli,Egitim,Kotu,0,Riskli
M00437,23,77358.0,1.7,57610,36,36,54538.0,16029,Kira,Serbest,Egitim,Orta,0,Riskli
M00438,32,56535.0,,42199,72,156,24535.0,5000,Kira,Tam Zamanli,Tuketici,Kotu,0,Risksiz
M00439,46,34719.0,11.8,69057,36,220,21200.0,11433,Ev Sahibi,Serbest,Egitim,Iyi,1,Riskli
M00440,36,55306.0,6.7,44547,36,131,58601.0,14586,Ev Sahibi,Tam Zamanli,Arac,Kotu,1,Riskli
M00441,57,70188.0,12.4,87194,36,447,7640.0,15928,Kira,Tam Zamanli,Arac,Iyi,0,Risksiz
M00442,42,61643.0,11.1,16424,36,258,9739.0,16497,Ev Sahibi,Tam Zamanli,Tuketici,Iyi,0,Risksiz
M00443,49,46073.0,13.4,59211,36,373,10268.0,26951,Ev Sahibi,Tam Zamanli,Ev,Orta,0,Risksiz
M00444,34,33355.0,12.3,79033,60,136,28778.0,28195,Ev Sahibi,Tam Zamanli,Egitim,Kotu,2,Riskli
M00445,48,57568.0,,75515,36,288,37769.0,16627,Ev Sahibi,Tam Zamanli,Arac,Iyi,0,Riskli
M00446,25,52083.0,2.5,150791,36,65,43314.0,26788,Aile Yaninda,Issiz,Tuketici,Iyi,0,Riskli
M00447,50,61113.0,19.4,80494,24,444,76296.0,20861,Ev Sahibi,Tam Zamanli,Egitim,Iyi,0,Risksiz
M00448,25,56433.0,1.9,39878,72,58,0.0,18516,Kira,Serbest,Arac,Iyi,0,Risksiz
